Year,Age,Sex,Immigrations,Emigrations,Migration_balance,MaleBirths,FemaleBirths,TotalBirths,Deaths,Population,GDP_per_capita,Health_expenditure_pct_GDP,Unemployment
1956,32,Female,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,,,
1956,32,Male,0.0,0.0,0.0,0.0,0.0,0.0,749.0,0.0,,,
1956,33,Female,0.0,0.0,0.0,0.0,0.0,0.0,781.0,0.0,,,
1956,33,Male,0.0,0.0,0.0,0.0,0.0,0.0,721.0,0.0,,,
1956,34,Female,0.0,0.0,0.0,0.0,0.0,0.0,826.0,0.0,,,
1956,34,Male,0.0,0.0,0.0,0.0,0.0,0.0,874.0,0.0,,,
1956,35,Female,0.0,0.0,0.0,0.0,0.0,0.0,930.0,0.0,,,
1956,35,Male,0.0,0.0,0.0,0.0,0.0,0.0,925.0,0.0,,,
1956,36,Female,0.0,0.0,0.0,0.0,0.0,0.0,984.0,0.0,,,
1956,36,Male,0.0,0.0,0.0,0.0,0.0,0.0,973.0,0.0,,,
1956,37,Female,0.0,0.0,0.0,0.0,0.0,0.0,639.0,0.0,,,
1956,37,Male,0.0,0.0,0.0,0.0,0.0,0.0,592.0,0.0,,,
1956,38,Female,0.0,0.0,0.0,0.0,0.0,0.0,597.0,0.0,,,
1956,38,Male,0.0,0.0,0.0,0.0,0.0,0.0,541.0,0.0,,,
1956,39,Female,0.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,,,
1956,39,Male,0.0,0.0,0.0,0.0,0.0,0.0,631.0,0.0,,,
1956,40,Female,0.0,0.0,0.0,0.0,0.0,0.0,862.0,0.0,,,
1956,40,Male,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,,,
1956,41,Female,0.0,0.0,0.0,0.0,0.0,0.0,1338.0,0.0,,,
1956,41,Male,0.0,0.0,0.0,0.0,0.0,0.0,1292.0,0.0,,,
1956,42,Female,0.0,0.0,0.0,0.0,0.0,0.0,1505.0,0.0,,,
1956,42,Male,0.0,0.0,0.0,0.0,0.0,0.0,1417.0,0.0,,,
1956,43,Female,0.0,0.0,0.0,0.0,0.0,0.0,1695.0,0.0,,,
1956,43,Male,0.0,0.0,0.0,0.0,0.0,0.0,1683.0,0.0,,,
1956,44,Female,0.0,0.0,0.0,0.0,0.0,0.0,1749.0,0.0,,,
1956,44,Male,0.0,0.0,0.0,0.0,0.0,0.0,1862.0,0.0,,,
1956,45,Female,0.0,0.0,0.0,0.0,0.0,0.0,1945.0,0.0,,,
1956,45,Male,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,0.0,,,
